pais,depto,municipio,mensajeria,estrato,n,exitos,tasa_cruda,wilson_lcb
GT,Alta Verapaz,Cahabon,CARGO,normal,4,2,50.0,15.0
GT,Alta Verapaz,Chahal,FORZA,normal,1,1,100.0,20.7
GT,Alta Verapaz,Chahal,CARGO,normal,7,2,28.6,8.2
GT,Alta Verapaz,Chisec,CARGO,normal,15,8,53.3,30.1
GT,Alta Verapaz,Chisec,FORZA,normal,1,1,100.0,20.7
GT,Alta Verapaz,Coban,CARGO,normal,10,5,50.0,23.7
GT,Alta Verapaz,Coban,FORZA,normal,3,2,66.7,20.8
GT,Alta Verapaz,Fray Bartolome De Las Casas,CARGO,normal,5,3,60.0,23.1
GT,Alta Verapaz,Fray Bartolome De Las Casas,FORZA,normal,6,3,50.0,18.8
GT,Alta Verapaz,Lanquin,CARGO,normal,39,18,46.2,31.6
GT,Alta Verapaz,Lanquin,FORZA,normal,13,7,53.8,29.1
GT,Alta Verapaz,Panzos,CARGO,normal,2,2,100.0,34.2
GT,Alta Verapaz,San Cristobal Verapaz,CARGO,normal,7,4,57.1,25.0
GT,Alta Verapaz,San Juan Chamelco,CARGO,normal,9,5,55.6,26.7
GT,Alta Verapaz,San Juan Chamelco,FORZA,normal,2,1,50.0,9.5
GT,Alta Verapaz,San Pedro Carcha,CARGO,normal,13,9,69.2,42.4
GT,Alta Verapaz,San Pedro Carcha,FORZA,normal,2,1,50.0,9.5
GT,Alta Verapaz,Santa Catalina La Tinta,CARGO,normal,6,6,100.0,61.0
GT,Alta Verapaz,Santa Catalina La Tinta,FORZA,normal,1,1,100.0,20.7
GT,Alta Verapaz,Santa Cruz Verapaz,CARGO,normal,3,2,66.7,20.8
GT,Alta Verapaz,Santa Cruz Verapaz,MEG,normal,5,0,0.0,0.0
GT,Alta Verapaz,Santa Cruz Verapaz,FORZA,normal,2,0,0.0,0.0
GT,Alta Verapaz,Senahu,MEG,normal,17,11,64.7,41.3
GT,Alta Verapaz,Senahu,FORZA,normal,1,1,100.0,20.7
GT,Alta Verapaz,Tactic,CARGO,normal,15,11,73.3,48.0
GT,Alta Verapaz,Tactic,MEG,normal,73,40,54.8,43.4
GT,Alta Verapaz,Tactic,FORZA,normal,3,1,33.3,6.1
GT,Alta Verapaz,Tamahu,CARGO,normal,3,2,66.7,20.8
GT,Alta Verapaz,Tamahu,FORZA,normal,1,0,0.0,0.0
GT,Alta Verapaz,Tamahu,MEG,normal,2,0,0.0,0.0
GT,Alta Verapaz,Teleman,CARGO,normal,1,1,100.0,20.7
GT,Alta Verapaz,Teleman,FORZA,normal,1,0,0.0,0.0
GT,Alta Verapaz,Tucuru,CARGO,normal,36,21,58.3,42.2
GT,Alta Verapaz,Tucuru,FORZA,normal,6,4,66.7,30.0
GT,Baja Verapaz,Cubulco,FORZA,normal,3,1,33.3,6.1
GT,Baja Verapaz,Granados,FORZA,normal,7,6,85.7,48.7
GT,Baja Verapaz,Granados,CARGO,normal,45,22,48.9,35.0
GT,Baja Verapaz,Granados,MEG,normal,2,1,50.0,9.5
GT,Baja Verapaz,Purulha,CARGO,normal,4,3,75.0,30.1
GT,Baja Verapaz,Rabinal,FORZA,normal,22,8,36.4,19.7
GT,Baja Verapaz,Rabinal,CARGO,normal,4,2,50.0,15.0
GT,Baja Verapaz,Salama,CARGO,normal,18,11,61.1,38.6
GT,Baja Verapaz,Salama,FORZA,normal,2,1,50.0,9.5
